model,dataset,phase,a,b,median_a_J,median_b_J,p_raw,p_holm,significant,cliffs_delta,magnitude
vgg16,fashionmnist,Training,Python/TensorFlow,R/torch,111517.1,335886.7,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,tinyimagenet,Inference,Cpp/LibTorch,Java/DL4J,7319.3,32848.7,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,tinyimagenet,Inference,Cpp/LibTorch,Python/JAX,7319.3,6719.4,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,tinyimagenet,Inference,Cpp/LibTorch,Python/PyTorch,7319.3,13686.2,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,tinyimagenet,Inference,Cpp/LibTorch,Python/TensorFlow,7319.3,7104.3,0.031746031746031744,0.11904761904761904,False,0.84,large
vgg16,tinyimagenet,Inference,Cpp/LibTorch,R/torch,7319.3,70689.9,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,tinyimagenet,Inference,Java/DL4J,Python/JAX,32848.7,6719.4,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,tinyimagenet,Inference,Java/DL4J,Python/PyTorch,32848.7,13686.2,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,tinyimagenet,Inference,Java/DL4J,Python/TensorFlow,32848.7,7104.3,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,tinyimagenet,Inference,Java/DL4J,R/torch,32848.7,70689.9,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,tinyimagenet,Inference,Python/JAX,Python/PyTorch,6719.4,13686.2,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,tinyimagenet,Inference,Python/JAX,Python/TensorFlow,6719.4,7104.3,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,tinyimagenet,Inference,Python/JAX,R/torch,6719.4,70689.9,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,tinyimagenet,Inference,Python/PyTorch,Python/TensorFlow,13686.2,7104.3,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,tinyimagenet,Inference,Python/PyTorch,R/torch,13686.2,70689.9,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,tinyimagenet,Inference,Python/TensorFlow,R/torch,7104.3,70689.9,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,tinyimagenet,Training,Cpp/LibTorch,Java/DL4J,295864.7,957632.3,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,tinyimagenet,Training,Cpp/LibTorch,Python/JAX,295864.7,122417.2,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,tinyimagenet,Training,Cpp/LibTorch,Python/PyTorch,295864.7,317302.3,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,tinyimagenet,Training,Cpp/LibTorch,Python/TensorFlow,295864.7,188235.5,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,tinyimagenet,Training,Cpp/LibTorch,R/torch,295864.7,534080.8,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,tinyimagenet,Training,Java/DL4J,Python/JAX,957632.3,122417.2,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,tinyimagenet,Training,Java/DL4J,Python/PyTorch,957632.3,317302.3,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,tinyimagenet,Training,Java/DL4J,Python/TensorFlow,957632.3,188235.5,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,tinyimagenet,Training,Java/DL4J,R/torch,957632.3,534080.8,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,tinyimagenet,Training,Python/JAX,Python/PyTorch,122417.2,317302.3,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,tinyimagenet,Training,Python/JAX,Python/TensorFlow,122417.2,188235.5,0.007936507936507936,0.11904761904761904,False,-1.0,large
